[2026-07-07 12:33:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_4 - Track ID: 10 - Width: 10.086mm, Length: 18.7mm - Trigger Reason: Width 10.086mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:01] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_8 - Track ID: 14 - Width: 2.966mm, Length: 26.1mm - Trigger Reason: Width 2.966mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:03] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_18 - Track ID: 15 - Width: 2.930mm, Length: 25.2mm - Trigger Reason: Width 2.930mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:03] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_22 - Track ID: 18 - Width: 3.554mm, Length: 3.6mm - Trigger Reason: Width 3.554mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_25 - Track ID: 20 - Width: 4.206mm, Length: 2.0mm - Trigger Reason: Width 4.206mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_27 - Track ID: 21 - Width: 10.882mm, Length: 16.6mm - Trigger Reason: Width 10.882mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_29 - Track ID: 23 - Width: 2.391mm, Length: 4.1mm - Trigger Reason: Width 2.391mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_30 - Track ID: 24 - Width: 1.961mm, Length: 5.8mm - Trigger Reason: Width 1.961mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:04] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_31 - Track ID: 25 - Width: 2.768mm, Length: 26.4mm - Trigger Reason: Width 2.768mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
[2026-07-07 12:33:05] ALERT LEVEL_3 (Level 3) - Frame ID: cam_2_frame_36 - Track ID: 26 - Width: 2.901mm, Length: 27.6mm - Trigger Reason: Width 2.901mm > 0.5mm - Recommended Action: Immediate shutdown or emergency maintenance
